Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit 02,Chrome 119.0.0.0,,,11-12-2023 14:57:06,11-12-2023 14:57:20,14.074s,PASSED
,,,,,,,
Test Cases/TC Sample for Sertifikasi/Open ig,Chrome 119.0.0.0,,,11-12-2023 14:57:06,11-12-2023 14:57:20,13.331s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,11-12-2023 14:57:06,11-12-2023 14:57:11,4.437s,PASSED
"navigateToUrl(""https://starbridges.indocyber.co.id/Application/Account/Login?ReturnUrl=%2fApplication"")",Chrome 119.0.0.0,,,11-12-2023 14:57:11,11-12-2023 14:57:12,1.254s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Login/a_Forgot Password""))",Chrome 119.0.0.0,,,11-12-2023 14:57:12,11-12-2023 14:57:16,3.750s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Forgot Passsword/button_Cancel""))",Chrome 119.0.0.0,,,11-12-2023 14:57:16,11-12-2023 14:57:17,1.244s,PASSED
"click(findTestObject(""Object Repository/starbridges/Page_Login/button_Sign in""))",Chrome 119.0.0.0,,,11-12-2023 14:57:17,11-12-2023 14:57:19,1.487s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 14:57:19,11-12-2023 14:57:20,0.929s,PASSED
